UTC Timestamp,EEG Signal A3 (uV),EEG Signal A4 (uV)
2025-01-20 10:05:32.651187,735,3
2025-01-20 10:05:32.661187,572,1
2025-01-20 10:05:32.671187,653,2
2025-01-20 10:05:32.681187,677,2
2025-01-20 10:05:32.691187,848,3
2025-01-20 10:05:32.701187,681,2
2025-01-20 10:05:32.711187,856,4
2025-01-20 10:05:32.721187,709,2
2025-01-20 10:05:32.731187,861,4
2025-01-20 10:05:32.741187,719,3
2025-01-20 10:05:32.751187,848,4
2025-01-20 10:05:32.761187,773,3
2025-01-20 10:05:32.771187,872,4
2025-01-20 10:05:32.781187,716,3
2025-01-20 10:05:32.791187,872,4
2025-01-20 10:05:32.801187,851,3
2025-01-20 10:05:32.811187,973,5
2025-01-20 10:05:32.821187,916,4
2025-01-20 10:05:32.831187,1018,5
2025-01-20 10:05:32.841187,1018,6
2025-01-20 10:05:32.851187,1018,6
2025-01-20 10:05:32.861187,1018,6
2025-01-20 10:05:32.871187,1018,5
2025-01-20 10:05:32.881187,1018,5
2025-01-20 10:05:32.891187,1018,5
2025-01-20 10:05:32.901187,825,3
2025-01-20 10:05:32.911187,948,5
2025-01-20 10:05:32.921187,764,3
2025-01-20 10:05:32.931187,878,4
2025-01-20 10:05:32.941187,766,3
2025-01-20 10:05:32.951187,883,4
2025-01-20 10:05:32.961187,731,3
2025-01-20 10:05:32.971187,755,3
2025-01-20 10:05:32.981187,597,1
2025-01-20 10:05:32.991187,730,3
2025-01-20 10:05:33.001187,622,2
2025-01-20 10:05:33.011187,758,3
2025-01-20 10:05:33.021187,582,1
2025-01-20 10:05:33.031187,695,2
2025-01-20 10:05:33.041187,512,1
2025-01-20 10:05:33.051187,671,2
2025-01-20 10:05:33.061187,415,0
2025-01-20 10:05:33.071187,687,2
2025-01-20 10:05:33.081187,608,2
2025-01-20 10:05:33.091187,999,5
2025-01-20 10:05:33.101187,959,5
2025-01-20 10:05:33.111187,1018,5
2025-01-20 10:05:33.121187,932,4
2025-01-20 10:05:33.131187,975,5
2025-01-20 10:05:33.141187,846,3
2025-01-20 10:05:33.151187,914,4
2025-01-20 10:05:33.161187,774,3
2025-01-20 10:05:33.171187,838,3
2025-01-20 10:05:33.181187,624,2
2025-01-20 10:05:33.191187,708,2
2025-01-20 10:05:33.201187,547,1
2025-01-20 10:05:33.211187,686,2
2025-01-20 10:05:33.221187,594,1
2025-01-20 10:05:33.231187,707,2
2025-01-20 10:05:33.241187,542,1
2025-01-20 10:05:33.251187,515,1
2025-01-20 10:05:33.261187,608,2
2025-01-20 10:05:33.271187,786,3
2025-01-20 10:05:33.281187,699,2
2025-01-20 10:05:33.291187,806,3
2025-01-20 10:05:33.301187,493,1
2025-01-20 10:05:33.311187,620,2
2025-01-20 10:05:33.321187,435,1
2025-01-20 10:05:33.331187,517,1
2025-01-20 10:05:33.341187,430,1
2025-01-20 10:05:33.351187,519,1
2025-01-20 10:05:33.361187,357,0
2025-01-20 10:05:33.371187,524,1
2025-01-20 10:05:33.381187,221,0
2025-01-20 10:05:33.391187,306,0
2025-01-20 10:05:33.401187,219,0
2025-01-20 10:05:33.411187,269,0
2025-01-20 10:05:33.421187,146,0
2025-01-20 10:05:33.431187,240,0
2025-01-20 10:05:33.441187,188,0
2025-01-20 10:05:33.451187,442,1
2025-01-20 10:05:33.461187,414,0
2025-01-20 10:05:33.471187,492,1
2025-01-20 10:05:33.481187,296,0
2025-01-20 10:05:33.491187,448,1
2025-01-20 10:05:33.501187,329,0
2025-01-20 10:05:33.511187,503,1
2025-01-20 10:05:33.521187,310,0
2025-01-20 10:05:33.531187,331,0
2025-01-20 10:05:33.541187,101,0
2025-01-20 10:05:33.551187,310,0
2025-01-20 10:05:33.561187,280,0
2025-01-20 10:05:33.571187,423,1
2025-01-20 10:05:33.581187,224,0
2025-01-20 10:05:33.591187,326,0
2025-01-20 10:05:33.601187,274,0
2025-01-20 10:05:33.611187,376,0
2025-01-20 10:05:33.621187,211,0
2025-01-20 10:05:33.631187,325,0
2025-01-20 10:05:33.641187,233,0
2025-01-20 10:05:33.651187,367,0
2025-01-20 10:05:33.661187,227,0
2025-01-20 10:05:33.671187,368,0
2025-01-20 10:05:33.681187,304,0
2025-01-20 10:05:33.691187,415,0
2025-01-20 10:05:33.701187,401,0
2025-01-20 10:05:33.711187,443,1
2025-01-20 10:05:33.721187,374,0
2025-01-20 10:05:33.731187,517,1
2025-01-20 10:05:33.741187,417,1
2025-01-20 10:05:33.751187,592,1
2025-01-20 10:05:33.761187,410,0
2025-01-20 10:05:33.771187,611,2
2025-01-20 10:05:33.781187,248,0
2025-01-20 10:05:33.791187,421,0
2025-01-20 10:05:33.801187,266,0
2025-01-20 10:05:33.811187,388,0
2025-01-20 10:05:33.821187,260,0
2025-01-20 10:05:33.831187,428,0
2025-01-20 10:05:33.841187,308,0
2025-01-20 10:05:33.851187,393,0
2025-01-20 10:05:33.861187,235,0
2025-01-20 10:05:33.871187,359,0
2025-01-20 10:05:33.881187,228,0
2025-01-20 10:05:33.891187,357,0
2025-01-20 10:05:33.901187,283,0
2025-01-20 10:05:33.911187,390,0
2025-01-20 10:05:33.921187,339,0
2025-01-20 10:05:33.931187,441,1
2025-01-20 10:05:33.941187,318,0
2025-01-20 10:05:33.951187,535,1
2025-01-20 10:05:33.961187,503,1
2025-01-20 10:05:33.971187,584,1
2025-01-20 10:05:33.981187,394,0
2025-01-20 10:05:33.991187,327,0
2025-01-20 10:05:34.001187,69,0
2025-01-20 10:05:34.011187,149,0
2025-01-20 10:05:34.021187,42,0
2025-01-20 10:05:34.031187,169,0
2025-01-20 10:05:34.041187,240,0
2025-01-20 10:05:34.051187,424,0
2025-01-20 10:05:34.061187,285,0
2025-01-20 10:05:34.071187,359,0
2025-01-20 10:05:34.081187,247,0
2025-01-20 10:05:34.091187,476,1
2025-01-20 10:05:34.101187,442,1
2025-01-20 10:05:34.111187,632,2
2025-01-20 10:05:34.121187,505,1
2025-01-20 10:05:34.131187,558,1
2025-01-20 10:05:34.141187,483,1
2025-01-20 10:05:34.151187,625,2
2025-01-20 10:05:34.161187,481,1
2025-01-20 10:05:34.171187,657,2
2025-01-20 10:05:34.181187,601,2
2025-01-20 10:05:34.191187,692,2
2025-01-20 10:05:34.201187,581,1
2025-01-20 10:05:34.211187,822,3
2025-01-20 10:05:34.221187,770,3
2025-01-20 10:05:34.231187,832,3
2025-01-20 10:05:34.241187,687,2
2025-01-20 10:05:34.251187,798,3
2025-01-20 10:05:34.261187,588,1
2025-01-20 10:05:34.271187,736,3
2025-01-20 10:05:34.281187,544,1
2025-01-20 10:05:34.291187,601,1
2025-01-20 10:05:34.301187,499,1
2025-01-20 10:05:34.311187,592,2
2025-01-20 10:05:34.321187,500,1
2025-01-20 10:05:34.331187,638,2
2025-01-20 10:05:34.341187,589,1
2025-01-20 10:05:34.351187,642,2
2025-01-20 10:05:34.361187,510,1
2025-01-20 10:05:34.371187,392,0
2025-01-20 10:05:34.381187,395,0
2025-01-20 10:05:34.391187,438,1
2025-01-20 10:05:34.401187,589,1
2025-01-20 10:05:34.411187,846,3
2025-01-20 10:05:34.421187,804,3
2025-01-20 10:05:34.431187,963,5
2025-01-20 10:05:34.441187,810,3
2025-01-20 10:05:34.451187,978,5
2025-01-20 10:05:34.461187,853,4
2025-01-20 10:05:34.471187,915,4
2025-01-20 10:05:34.481187,804,3
2025-01-20 10:05:34.491187,815,3
2025-01-20 10:05:34.501187,558,1
2025-01-20 10:05:34.511187,672,2
2025-01-20 10:05:34.521187,516,1
2025-01-20 10:05:34.531187,627,2
2025-01-20 10:05:34.541187,461,1
2025-01-20 10:05:34.551187,528,1
2025-01-20 10:05:34.561187,638,2
2025-01-20 10:05:34.571187,865,4
2025-01-20 10:05:34.581187,735,3
2025-01-20 10:05:34.591187,775,3
2025-01-20 10:05:34.601187,626,2
2025-01-20 10:05:34.611187,713,3
2025-01-20 10:05:34.621187,554,1
2025-01-20 10:05:34.631187,664,2
2025-01-20 10:05:34.641187,579,1
2025-01-20 10:05:34.651187,738,3
2025-01-20 10:05:34.661187,615,2
2025-01-20 10:05:34.671187,683,2
2025-01-20 10:05:34.681187,600,2
2025-01-20 10:05:34.691187,742,3
2025-01-20 10:05:34.701187,501,1
2025-01-20 10:05:34.711187,627,2
2025-01-20 10:05:34.721187,430,1
2025-01-20 10:05:34.731187,640,2
2025-01-20 10:05:34.741187,485,1
2025-01-20 10:05:34.751187,597,1
2025-01-20 10:05:34.761187,403,0
2025-01-20 10:05:34.771187,470,1
2025-01-20 10:05:34.781187,365,0
2025-01-20 10:05:34.791187,483,1
2025-01-20 10:05:34.801187,177,0
2025-01-20 10:05:34.811187,316,0
2025-01-20 10:05:34.821187,245,0
2025-01-20 10:05:34.831187,420,0
2025-01-20 10:05:34.841187,355,0
2025-01-20 10:05:34.851187,491,1
2025-01-20 10:05:34.861187,345,0
2025-01-20 10:05:34.871187,449,1
2025-01-20 10:05:34.881187,367,0
2025-01-20 10:05:34.891187,480,1
2025-01-20 10:05:34.901187,380,0
2025-01-20 10:05:34.911187,508,1
2025-01-20 10:05:34.921187,342,0
2025-01-20 10:05:34.931187,452,1
2025-01-20 10:05:34.941187,371,0
